Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.65,7.75,7.08,7.177,12700,7.177
2016-03-10,7.70,7.73,7.45,7.52,2700,7.52
2016-03-09,7.70,7.86,7.31,7.808,5900,7.808
2016-03-08,7.921,7.99,7.921,7.99,1300,7.99
2016-03-07,8.20,8.20,7.70,7.895,1600,7.895
2016-03-04,8.18,8.18,8.18,8.18,600,8.18
2016-03-03,8.26,8.30,8.06,8.06,2400,8.06
2016-03-02,8.104,8.42,8.06,8.328,5300,8.328
2016-03-01,8.21,8.41,8.01,8.01,1200,8.01
2016-02-29,8.89,8.90,8.383,8.88,7000,8.88
2016-02-26,8.95,8.979,8.95,8.963,1700,8.963
2016-02-25,8.32,8.90,8.14,8.622,17500,8.622
2016-02-24,8.107,8.90,8.03,8.90,16200,8.90
2016-02-23,8.86,8.916,8.70,8.85,2200,8.85
2016-02-22,8.37,8.90,8.37,8.864,9500,8.864
2016-02-19,8.80,8.80,8.255,8.372,2500,8.372
2016-02-18,8.30,8.53,8.30,8.31,4700,8.31
2016-02-17,8.24,8.30,7.84,7.87,5000,7.87
2016-02-16,7.45,8.29,7.43,7.641,3300,7.641
2016-02-12,6.25,6.85,6.25,6.85,1500,6.85
2016-02-11,7.94,7.94,6.95,6.95,6400,6.95
2016-02-10,8.00,8.01,7.90,7.90,1600,7.90
2016-02-09,8.024,8.15,8.002,8.004,3900,8.004
2016-02-08,8.29,8.29,7.06,7.86,8000,7.86
2016-02-05,6.26,7.40,6.24,7.28,28100,7.28
2016-02-04,8.00,8.00,5.65,6.275,40800,6.275
2016-02-03,10.75,10.75,7.80,8.00,19600,8.00
2016-02-02,12.70,12.70,10.47,11.83,4600,11.83
2016-02-01,13.25,13.99,12.27,12.40,16800,12.40
2016-01-29,13.90,13.90,13.90,13.90,300,13.90
2016-01-28,13.99,14.00,13.99,14.00,600,14.00
2016-01-27,13.573,13.573,13.573,13.573,300,13.573
2016-01-26,14.301,14.301,14.10,14.15,2000,14.15
2016-01-25,11.34,14.66,11.34,14.06,2600,14.06
2016-01-22,16.40,16.75,15.341,15.74,8600,15.74
2016-01-21,16.50,17.290001,13.50,16.370001,7200,16.370001
2016-01-20,12.00,17.48,12.00,16.531,6500,16.531
